55;1
68;2
138;3
106;3
39;3
34;4
121;3
109;6
113;2
24;3
131;7
117;2
70;4
36;5
145;5
144;3
16;5
24;4
46;5
56;6
142;6
68;4
142;2
41;3
89;4
96;5
85;2
134;4
130;2
129;6
63;2
114;1
71;6
85;6
79;6
54;5
102;5
78;1
40;3
106;3
145;2
81;2
49;6
103;2
87;1
13;2
105;1
112;5
141;6
42;2
35;1
112;2
54;2
32;3
102;6
15;4
138;1
35;1
34;5
76;6
127;5
134;7
105;7
128;3
95;6
93;7
54;7
80;7
24;5
120;7
100;6
138;2
116;2
132;1
65;3
137;2
145;3
16;2
130;4
123;6
129;1
140;5
112;2
18;5
57;4
47;4
52;6
147;2
36;5
78;1
14;7
77;5
135;5
79;1
57;7
124;4
93;4
43;1
107;6
115;6
